timestamp,server_id,cpu_percent,region
2023-01-01T00:00:00,srv-10,84.4,eu-west-1
2023-01-01T01:00:00,srv-7,34.3,eu-west-1
2023-01-01T02:00:00,srv-8,35.1,ap-northeast-1
2023-01-01T03:00:00,srv-2,60.1,ap-northeast-1
2023-01-01T04:00:00,srv-10,81.0,eu-west-1
2023-01-01T05:00:00,srv-9,15.1,eu-west-1
2023-01-01T06:00:00,srv-9,17.9,us-east-1
2023-01-01T07:00:00,srv-1,85.9,ap-northeast-1
2023-01-01T08:00:00,srv-4,51.1,ap-northeast-1
2023-01-01T09:00:00,srv-5,30.9,ap-northeast-1
2023-01-01T10:00:00,srv-8,64.3,ap-northeast-1
2023-01-01T11:00:00,srv-4,77.2,us-east-1
2023-01-01T12:00:00,srv-9,47.6,ap-northeast-1
2023-01-01T13:00:00,srv-4,87.0,ap-northeast-1
2023-01-01T14:00:00,srv-8,46.6,ap-northeast-1
2023-01-01T15:00:00,srv-9,26.9,us-east-1
2023-01-01T16:00:00,srv-5,87.6,us-east-1
2023-01-01T17:00:00,srv-1,37.7,us-east-1
2023-01-01T18:00:00,srv-10,38.3,eu-west-1
2023-01-01T19:00:00,srv-6,45.1,eu-west-1
2023-01-01T20:00:00,srv-10,53.9,eu-west-1
2023-01-01T21:00:00,srv-1,84.3,ap-northeast-1
2023-01-01T22:00:00,srv-5,23.2,us-east-1
2023-01-01T23:00:00,srv-1,66.7,eu-west-1
2023-01-02T00:00:00,srv-5,20.5,ap-northeast-1
2023-01-02T01:00:00,srv-3,86.1,us-east-1
2023-01-02T02:00:00,srv-4,16.3,eu-west-1
2023-01-02T03:00:00,srv-5,49.5,eu-west-1
2023-01-02T04:00:00,srv-10,81.4,ap-northeast-1
2023-01-02T05:00:00,srv-5,69.9,us-east-1
2023-01-02T06:00:00,srv-2,42.5,eu-west-1
2023-01-02T07:00:00,srv-10,73.0,ap-northeast-1
2023-01-02T08:00:00,srv-2,84.0,us-east-1
2023-01-02T09:00:00,srv-7,43.9,ap-northeast-1
2023-01-02T10:00:00,srv-2,19.8,ap-northeast-1
2023-01-02T11:00:00,srv-3,89.3,eu-west-1
2023-01-02T12:00:00,srv-2,78.8,ap-northeast-1
2023-01-02T13:00:00,srv-2,21.5,eu-west-1
2023-01-02T14:00:00,srv-1,79.4,us-east-1
2023-01-02T15:00:00,srv-6,60.0,ap-northeast-1
2023-01-02T16:00:00,srv-3,12.9,us-east-1
2023-01-02T17:00:00,srv-5,49.3,us-east-1
2023-01-02T18:00:00,srv-9,82.3,eu-west-1
2023-01-02T19:00:00,srv-1,61.2,us-east-1
2023-01-02T20:00:00,srv-8,76.1,ap-northeast-1
2023-01-02T21:00:00,srv-6,17.3,ap-northeast-1
2023-01-02T22:00:00,srv-2,69.5,us-east-1
2023-01-02T23:00:00,srv-2,44.3,eu-west-1
2023-01-03T00:00:00,srv-3,22.3,us-east-1
